t,angI,Inhibition,Renin,AGT,angII,angII_norm,diacid,ang17,at1r,at2r,ACE2,IR
3.9499999999999997,356308405.7455029,94.27916309896932,6054.892950742848,894038492076167.0,1.3118540353884143,6.246329490347413,37.29677834548129,116.2076090489777,24.498585209055122,9.408057093843377,0.346414584132971,21.35416433574651
3.952,356308186.21345776,94.27031813093616,6044.558312739535,894038508623506.0,1.3138789547342988,6.255971045798381,37.23509291905375,116.20850895963127,24.536420633677352,9.422586824110548,0.34695012966651206,21.35529112567599
3.954,356307966.31804794,94.26146032009984,6034.1955114202865,894038525074539.0,1.315906805170779,6.2656265574953425,37.17350951462388,116.20941162837518,24.57431078605284,9.43713757117615,0.347486418460518,21.356417011148157
3.956,356307746.0595012,94.25258965038802,6023.804482908563,894038541430383.5,1.3179375902671113,6.275296042433141,37.11202796345671,116.21031706077684,24.612255731163764,9.451709359994933,0.34802344943303426,21.357542006932913
3.958,356307525.4380451,94.24370610571617,6013.385163327835,894038557692158.1,1.3199713135925544,6.2849795176066285,37.05064809709638,116.21122526240379,24.650255533992297,9.466302215521642,0.3485612215021067,21.358666127800177
3.9600000000000004,356307304.4539074,94.23480966998773,6002.93748880156,894038573860981.1,1.3220079787163632,6.294677000010639,36.98936974736558,116.21213623882343,24.688310259520613,9.480916162711027,0.349099733585781,21.359789388519857
3.962,356307083.1073157,94.22590032709405,5992.461395453203,894038589937970.9,1.3240475892077954,6.30438850664002,36.9281927463652,116.21304999560324,24.72641997273088,9.495551226517833,0.34963898460210274,21.36091180386187
3.964,356306861.39849776,94.21697806091434,5981.956819406233,894038605924244.9,1.3260901486361083,6.314114054489616,36.86711692647381,116.21396653831071,24.764584738605276,9.510207431896802,0.3501789734691174,21.362033388596124
3.9659999999999997,356306639.3276813,94.20804285531587,5971.423696784108,894038621820922.0,1.328135660570559,6.323853660554277,36.80614212034718,116.21488587251329,24.80280462212598,9.524884803802696,0.35071969910487105,21.363154157492534
3.968,356306416.8950938,94.19909469415379,5960.861963710291,894038637629119.9,1.3301841285804046,6.333607341828842,36.745268160917874,116.21580800377842,24.841079688275162,9.539583367190248,0.3512611604274092,21.364274125321007
3.97,356306194.10096306,94.1901335612713,5950.271556308252,894038653349957.4,1.332235556234902,6.34337511530816,36.684494881394784,116.2167329376736,24.879410002034998,9.554303147014211,0.35180335635477744,21.36539330685146
3.972,356305970.94551706,94.1811594404996,5939.65241070145,894038668984552.1,1.334289947103308,6.353156997987071,36.62382211526263,116.21766067976628,24.91779562838766,9.569044168229334,0.3523462858050215,21.366511716853797
3.974,356305747.428983,94.1721723156579,5929.00446301335,894038684534022.5,1.33634730475488,6.362953006860421,36.56324969628156,116.21859123562393,24.95623663231531,9.58380645579036,0.35288994769618703,21.36762937009794
